CD_MUN;NM_MUN; V06001 ; V06002 ; V06003 ; V06004 ; V06005 
4308854;Gentil; 646 ; 1.744 ; 2 ; 16.440 ; 31.556.190.142 
3144805;Nova Lima; 39.803 ; 111.262 ; 2 ; 7.573 ; 143.548.838 
4322855;Vespasiano Corrêa; 642 ; 1.813 ; 2 ; 6.955 ; 131.294.770 
3548807;São Caetano do Sul; 61.987 ; 164.930 ; 2 ; 6.554 ; 69.757.873 
4205407;Florianópolis; 219.705 ; 532.813 ; 2 ; 6.174 ; 66.737.968 
3547304;Santana de Parnaíba; 52.310 ; 154.045 ; 2 ; 6.131 ; 98.060.565 
3556701;Vinhedo; 27.415 ; 76.282 ; 2 ; 6.112 ; 75.813.219 
3303302;Niterói; 194.446 ; 479.961 ; 2 ; 6.097 ; 97.490.344 
4202008;Balneário Camboriú; 57.862 ; 138.701 ; 2 ; 6.075 ; 52.787.278 
3205309;Vitória; 128.610 ; 322.231 ; 2 ; 5.961 ; 101.829.423 
3556206;Valinhos; 46.354 ; 126.069 ; 2 ; 5.794 ; 80.940.444 
5300108;Brasília; 988.076 ; 2.792.471 ; 2 ; 5.784 ; 211.007.412 
3548500;Santos; 167.455 ; 416.760 ; 2 ; 5.690 ; 171.670.219 
4311718;Maçambará; 1.631 ; 4.424 ; 2 ; 5.536 ; 16.069.244.806 
4310751;Ivorá; 740 ; 1.916 ; 2 ; 5.535 ; 5.507.949.301 
4210555;Marema; 742 ; 2.184 ; 2 ; 5.440 ; 100.552.356 
4312617;Muitos Capões; 1.093 ; 2.871 ; 2 ; 5.420 ; 8.338.718.270 
3138906;Machacalis; 2.434 ; 6.484 ; 2 ; 5.417 ; 34.541.198.756 
4106902;Curitiba; 685.853 ; 1.766.164 ; 2 ; 5.395 ; 104.719.485 
4314902;Porto Alegre; 558.228 ; 1.322.515 ; 2 ; 5.384 ; 304.104.440 
4219606;Xavantina; 1.253 ; 3.651 ; 2 ; 5.292 ; 84.063.786 
3536505;Paulínia; 37.887 ; 110.116 ; 2 ; 5.224 ; 36.773.651 
4116950;Nova Esperança do Sudoeste; 2.055 ; 5.597 ; 2 ; 5.209 ; 106.016.623 
