Localidade 1;Localidade 2;Localidade 3;Total Geral;Federal;Estadual;Municipal;Privada;
Brasil;Brasil;Brasil;46.668.401;377.147;15.019.116;23.135.793;8.136.345;
Centro-Oeste;Centro-Oeste;Brasil;3.599.393;35.074;1.535.429;1.409.687;619.203;
DF;Centro-Oeste;Brasil;644.293;9.008;447.083;;188.202;
GO;Centro-Oeste;Brasil;1.420.157;10.596;493.887;675.034;240.640;
MS;Centro-Oeste;Brasil;659.037;6.649;206.291;356.015;90.082;
MT;Centro-Oeste;Brasil;875.906;8.821;388.168;378.638;100.279;
Nordeste;Nordeste;Brasil;13.745.359;123.288;3.143.519;8.362.412;2.116.140;
AL;Nordeste;Brasil;855.435;11.193;172.094;549.469;122.679;
BA;Nordeste;Brasil;3.512.436;17.463;838.932;2.185.781;470.260;
CE;Nordeste;Brasil;2.123.623;12.172;413.377;1.357.943;340.131;
MA;Nordeste;Brasil;1.938.297;16.185;312.887;1.390.524;218.701;
PB;Nordeste;Brasil;976.247;12.457;251.452;548.832;163.506;
PE;Nordeste;Brasil;2.139.772;17.407;565.810;1.112.752;443.803;
PI;Nordeste;Brasil;870.888;11.492;216.952;547.934;94.510;
RN;Nordeste;Brasil;798.972;20.128;215.733;403.652;159.459;
SE;Nordeste;Brasil;529.689;4.791;156.282;265.525;103.091;
Norte;Norte;Brasil;4.868.765;40.023;1.730.569;2.694.478;403.695;
AC;Norte;Brasil;255.274;2.958;144.474;96.716;11.126;
AM;Norte;Brasil;1.170.968;10.558;461.952;620.340;78.118;
AP;Norte;Brasil;211.020;1.983;115.942;75.222;17.873;
PA;Norte;Brasil;2.281.532;12.932;585.165;1.470.014;213.421;
RO;Norte;Brasil;400.271;5.112;195.441;161.573;38.145;
RR;Norte;Brasil;168.113;2.322;77.832;75.301;12.658;
TO;Norte;Brasil;381.587;4.158;149.763;195.312;32.354;
Sudeste;Sudeste;Brasil;18.241.371;113.148;6.409.876;7.821.217;3.897.130;
ES;Sudeste;Brasil;868.681;13.512;244.039;509.158;101.972;
MG;Sudeste;Brasil;4.136.120;45.550;1.744.621;1.749.814;596.135;
RJ;Sudeste;Brasil;3.414.233;37.057;738.239;1.695.870;943.067;
SP;Sudeste;Brasil;9.822.337;17.029;3.682.977;3.866.375;2.255.956;
Sul;Sul;Brasil;6.213.513;65.614;2.199.723;2.847.999;1.100.177;
PR;Sul;Brasil;2.371.191;15.358;908.488;1.047.530;399.815;
RS;Sul;Brasil;2.201.511;30.491;749.341;995.551;426.128;
SC;Sul;Brasil;1.640.811;19.765;541.894;804.918;274.234;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
