Sigla;Código;Estado;2021
AC;12;Acre;21374440,01
AL;27;Alagoas;76265620,29
AM;13;Amazonas;131531037,8
AP;16;Amapá;20099850,52
BA;29;Bahia;352617851,8
CE;23;Ceará;194884801,5
DF;53;Distrito Federal;286943782
ES;32;Espírito Santo;186336504,8
GO;52;Goiás;269627873,9
MA;21;Maranhão;124980720
MG;31;Minas Gerais;857593213,7
MS;50;Mato Grosso do Sul;142203766,4
MT;51;Mato Grosso;233390202,6
PA;15;Pará;262904979,1
PB;25;Paraíba;77470331,03
PE;26;Pernambuco;220813522,5
PI;22;Piauí;64028302,82
PR;41;Paraná;549973061,9
RJ;33;Rio de Janeiro;949300770,4
RN;24;Rio Grande do Norte;80180733,09
RO;11;Rondônia;58170095,73
RR;14;Roraima;18202579,49
RS;43;Rio Grande do Sul;581283677,3
SC;42;Santa Catarina;428570888,8
SE;28;Sergipe;51861396,89
SP;35;São Paulo;2719751231
TO;17;Tocantins;51780764,39
